"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250"
"V1",0,0.107992,0.03572,0.114532,0.076186,1,0.307266,0.162015,0.0116308,0.214059,0.191477,0.226635,0.337414,1,0.209928,0.102614,0.0881406,0.0529296,0.156608,0.187006,0.279692,0.180987,0.10173,0,0.164457,0.309587,0.236697,0.180231,1,0.0950026,1,1,1,0.232073,0.0116308,0.0764147,0.220867,0.343304,0.0317417,0.0647274,0.140113,0.190632,0.0992151,0.18895,0.242928,0.0696481,1,0.0231388,0.134395,0.161485,0.0296922,1,0.0925451,0.111273,0.145832,0.151721,0.128598,0.0567208,0.0387017,0.163975,0.165942,0.0116308,0.0221138,0.0116308,0.132395,0.0489759,0.196405,0.112818,0.179873,0.129961,0.186691,0.38275,1,0.172716,0.0793147,0.0717444,0.201837,0.197472,0.167003,0.134899,0.0647274,0.145706,1,0.176871,0.272959,0.134201,0.205565,0.208247,1,0.216995,0.0362974,0.187344,0.164939,0.201988,0.231854,0.0693402,0.190145,0.236071,0.177734,0.270547,0.226594,0.270482,0.0708754,0.236141,0.126374,0.201855,1,0.0881406,1,0.0423223,0.15602,0.210456,0.270547,0.145736,1,0.172613,0.138039,0.09693,0.235192,0.14054,0.243666,0.0693402,0.11712,0.196708,0.140638,0.0790915,1,0.0397267,0.0908237,0.118703,0.118265,0.0888185,0.127655,0.107372,0.361351,0.141066,0.189306,0.0567208,0.201656,1,0.0116308,0.144001,0.0823132,0.107176,0.183598,0.327113,0.142577,0.164559,0.246074,0.13735,0.0116308,0.0950026,0.143717,0.149401,0.0221138,0.0651086,1,0.192075,0.15024,0.0511533,0.03572,0.289677,0.0116308,0.193989,0.124861,0.230498,0.0795468,0.239792,1,0.141149,0.149158,0.159485,0.0231388,0.03572,0.0745727,0.235635,1,0.10173,0.289931,0.309463,0.277961,0.346533,0.253538,0.0365533,0.183685,0.171651,0.133534,0.0795468,0.0351709,0.199509,0.167659,0.156943,0.0397267,0.113459,0.0408344,0.189177,0.076186,1,1,0.128492,0.217691,0.105284,0.162788,0.247449,0.320143,0.169462,0.123779,0.102614,0.16562,0.188101,0.19069,0.126505,0.141066,0.185947,0.0221138,0.160738,0.154998,0.0695398,0.168794,0.0362974,0.03572,0.176658,0.0695398,1,0.13626,0.0116308,1,0.220485,1,0.0521093,0.25401,0.19322,0.0971294,0.221425,0.0972893,1,0.241029,0.0692669,0.122362,0.246831,0.190416,0.308194,0.137066,0.169099,1,0.0881406,0.272835,0.03572,0.0972189,0.211594
"V2",0.129225,0.0927477,0.0953025,0.162917,0.123631,1,0.226588,0.104975,0.137165,0.255934,0.0813179,0.12993,0.254429,1,0.157538,0.131969,0.128602,0.121256,0.126291,0.0886401,0.168883,0.21926,0.151411,0.129225,0.144909,0.210026,0.164937,0.130995,1,0.143924,1,1,1,0.14798,0.137165,0.14436,0.16705,0.255948,0.121693,0.111283,0.044259,0.147445,0.0650456,0.146496,0.149744,0.122025,1,0.110666,0.101262,0.111472,0.123686,1,0.0869403,0.0940536,0.0980592,0.0996319,0.120638,0.14594,0.103031,0.108392,0.115057,0.137165,0.113056,0.137165,0.12327,0.107516,0.0911166,0.156372,0.0772777,0.10829,0.0752195,0.292891,1,0.119328,0.074221,0.0743414,0.10107,0.0969122,0.13634,0.102243,0.111283,0.141404,1,0.146416,0.179198,0.169769,0.155053,0.161377,1,0.116346,0.106399,0.161263,0.117295,0.103347,0.128938,0.0964887,0.0935424,0.171718,0.130566,0.168976,0.17982,0.17565,0.124907,0.144192,0.174102,0.118229,1,0.128602,1,0.104776,0.10499,0.142745,0.175483,0.0970344,1,0.123282,0.132177,0.147249,0.139185,0.187731,0.133434,0.0777092,0.0958938,0.162656,0.112263,0.0732073,1,0.100642,0.113959,0.0970637,0.0979146,0.135723,0.107304,0.153877,0.280135,0.176674,0.136831,0.14594,0.0993436,1,0.137165,0.0962227,0.12446,0.0724501,0.0762534,0.224359,0.123683,0.111319,0.145176,0.111051,0.137165,0.143924,0.105968,0.125731,0.113056,0.113072,1,0.0765235,0.110699,0.112208,0.0953025,0.205809,0.137165,0.110487,0.0771067,0.165795,0.125018,0.128758,1,0.112452,0.0933497,0.213394,0.110666,0.0953025,0.125854,0.12486,1,0.151411,0.231344,0.243751,0.175624,0.289058,0.162158,0.0991015,0.143286,0.0512783,0.179962,0.125018,0.0971559,0.10404,0.148596,0.192394,0.100642,0.165097,0.101196,0.0918932,0.123631,1,1,0.0765012,0.171054,0.0992265,0.106414,0.154109,0.261065,0.0838681,0.100503,0.131969,0.115087,0.090716,0.0687258,0.107186,0.176674,0.0711022,0.113056,0.104054,0.103488,0.134426,0.0585523,0.106399,0.0953025,0.125904,0.134426,1,0.121678,0.137165,1,0.154783,1,0.115166,0.170945,0.0933652,0.0628119,0.154398,0.063735,1,0.137636,0.120236,0.0313637,0.196311,0.0824605,0.232919,0.090088,0.0622364,1,0.128602,0.162995,0.0953025,0.138539,0.105809
"V3",0.161045,0.0758235,0.13309,0.112448,0.117708,1,0.210088,0.0224538,0.168177,0.20033,0.0906436,0.114678,0.249971,1,0.067538,0.0740353,0.0973243,0.122209,0.0501652,0.138199,0.168962,0.163541,0.100666,0.161045,0.0709063,0.217569,0.138184,0.0359099,1,0.093289,1,1,1,0.128009,0.168177,0.178748,0.0740237,0.230785,0.1565,0.113462,0.139505,0.065926,0.0784929,0.0697302,0.141954,0.105947,1,0.144371,0.0412466,0.040126,0.150115,1,0.174421,0.0915893,0.041152,0.0244711,0.1661,0.113359,0.128782,0.0251453,0.023393,0.168177,0.14676,0.168177,0.167922,0.137983,0.0895686,0.144308,0.0862997,0.04999,0.0615989,0.28362,1,0.0515963,0.094006,0.106285,0.0897342,0.13084,0.0867411,0.0437941,0.113462,0.0852812,1,0.0705559,0.144461,0.150405,0.0810466,0.0681482,1,0.169752,0.132149,0.0837784,0.0471481,0.1436,0.12059,0.125452,0.12076,0.15713,0.0480595,0.16323,0.112356,0.140145,0.105435,0.154421,0.121328,0.115183,1,0.0973243,1,0.128277,0.0205925,0.121775,0.167803,0.040342,1,0.153828,0.105588,0.0922376,0.122177,0.152049,0.106015,0.109653,0.0652292,0.108027,0.0546237,0.0929923,1,0.126392,0.141997,0.060866,0.0664337,0.10083,0.0758234,0.130099,0.284925,0.123891,0.0833953,0.113359,0.0969814,1,0.168177,0.0572125,0.0879233,0.0846914,0.156902,0.218462,0.0828408,0.0262695,0.144803,0.0549476,0.168177,0.093289,0.047244,0.097042,0.14676,0.115251,1,0.0651855,0.0541521,0.135368,0.13309,0.171875,0.168177,0.122528,0.0596324,0.144209,0.0938224,0.110584,1,0.0306508,0.0470553,0.168493,0.144371,0.13309,0.118769,0.112804,1,0.100666,0.177816,0.182556,0.18543,0.239105,0.14903,0.136889,0.0645246,0.0927754,0.146427,0.0938224,0.134943,0.106556,0.0678535,0.176236,0.126392,0.115497,0.126947,0.109387,0.117708,1,1,0.107607,0.101629,0.12576,0.0236499,0.150999,0.206652,0.117417,0.0771242,0.0740353,0.0314857,0.121846,0.122548,0.0752661,0.123891,0.0614573,0.14676,0.0341086,0.0501476,0.101844,0.0813048,0.132149,0.13309,0.0311115,0.101844,1,0.0952217,0.168177,1,0.0952916,1,0.136597,0.151849,0.0824665,0.0778587,0.160392,0.0787818,1,0.147799,0.104158,0.110819,0.125494,0.0718239,0.203695,0.10084,0.0934514,1,0.0973243,0.197124,0.13309,0.160172,0.0827952
"V4",0.113736,0.137253,0.0853779,0.00393381,0.0720247,1,0.223761,0.112078,0.120867,0.113344,0.172962,0.177328,0.331144,1,0.107209,0.125452,0.039938,0.0746215,0.0976094,0.183057,0.198569,0.127118,0.0444208,0.113736,0.121439,0.278269,0.216255,0.128836,1,0.0461392,1,1,1,0.183907,0.120867,0.142449,0.119582,0.291613,0.107339,0.0669312,0.182272,0.143885,0.123913,0.146195,0.200641,0.0605608,1,0.0958936,0.100729,0.135382,0.138928,1,0.196717,0.139969,0.118523,0.125247,0.209779,0.0691028,0.0820339,0.114599,0.119673,0.120867,0.098283,0.120867,0.204773,0.090634,0.142805,0.0608246,0.153134,0.107074,0.141838,0.290375,1,0.115809,0.118679,0.127219,0.153989,0.146423,0.109962,0.121933,0.0669312,0.123816,1,0.0641943,0.225084,0.120771,0.101678,0.154209,1,0.210406,0.0854017,0.130059,0.108062,0.211627,0.169132,0.144938,0.186521,0.226745,0.129186,0.233761,0.137571,0.225603,0.0595472,0.182182,0.0207647,0.173197,1,0.039938,1,0.0731432,0.107851,0.197025,0.216181,0.117886,1,0.1999,0.123099,0.0475211,0.189971,0.0576643,0.195148,0.130587,0.110934,0.109355,0.113998,0.117666,1,0.0796444,0.142562,0.108207,0.113174,0.0572703,0.122564,0.0503954,0.346645,0.089667,0.128849,0.0691028,0.165191,1,0.120867,0.135555,0.0444453,0.136617,0.181648,0.299444,0.129538,0.116978,0.194607,0.124966,0.120867,0.0461392,0.129335,0.145151,0.098283,0.0687203,1,0.154686,0.137222,0.0822418,0.0853779,0.190409,0.120867,0.187934,0.126695,0.214048,0.0506391,0.180585,1,0.0974364,0.129237,0.124601,0.0958936,0.0853779,0.0726173,0.185157,1,0.0444208,0.18657,0.219455,0.257189,0.25019,0.211633,0.089177,0.132111,0.166871,0.0483891,0.0506391,0.0872314,0.192284,0.11767,0.145793,0.0796444,0.0565573,0.0801991,0.175492,0.0720247,1,1,0.141154,0.116133,0.151515,0.114778,0.200884,0.22178,0.189026,0.123017,0.125452,0.118148,0.188254,0.188526,0.122443,0.089667,0.138547,0.098283,0.123788,0.135313,0.0575883,0.154127,0.0854017,0.0853779,0.126541,0.0575883,1,0.123634,0.120867,1,0.172315,1,0.0848848,0.185796,0.145971,0.125407,0.192363,0.12633,1,0.17776,0.0587718,0.159263,0.165495,0.1364,0.285579,0.138535,0.168903,1,0.039938,0.262386,0.0853779,0.12591,0.166564
"V5",0.141192,0.0449758,0.110354,0.130808,0.0683916,1,0.241636,0.0555112,0.149132,0.222557,0.078164,0.137863,0.239118,1,0.111078,0.0862178,0.106617,0.0944074,0.0780833,0.122558,0.200492,0.166126,0.119484,0.141192,0.0843294,0.225905,0.135124,0.0870171,1,0.108798,1,1,1,0.144578,0.149132,0.156572,0.105544,0.269068,0.116016,0.0835285,0.11922,0.0867226,0.0640688,0.084714,0.161823,0.0798769,1,0.12335,0.0538282,0.061915,0.13107,1,0.156242,0.0778419,0.0492379,0.0482819,0.141834,0.116997,0.110278,0.0433149,0.0676648,0.149132,0.12574,0.149132,0.144731,0.0953799,0.112719,0.107395,0.0978633,0.0591357,0.0987105,0.312067,1,0.0579842,0.0740656,0.0822751,0.105313,0.122271,0.0769384,0.0633625,0.0835285,0.0890365,1,0.0953097,0.19283,0.12689,0.113589,0.112498,1,0.14687,0.113646,0.0932695,0.0791915,0.126726,0.147725,0.0836944,0.100923,0.132216,0.0686366,0.173803,0.141886,0.188744,0.0842794,0.16193,0.14057,0.130767,1,0.106617,1,0.108797,0.0590569,0.0995094,0.187722,0.0483387,1,0.120346,0.0845344,0.113561,0.149687,0.163608,0.15854,0.0856429,0.03563,0.123528,0.0631219,0.0730519,1,0.107889,0.119078,0.0302873,0.0305347,0.106659,0.021145,0.115706,0.280089,0.141361,0.0868826,0.116997,0.108809,1,0.149132,0.0151995,0.0964267,0.0499045,0.132351,0.225952,0.0475747,0.0462251,0.152912,0.072294,0.149132,0.108798,0.0457841,0.0650353,0.12574,0.0853176,1,0.104879,0.0482877,0.0972496,0.110354,0.214667,0.149132,0.138394,0.0259732,0.117813,0.100028,0.137557,1,0.0593014,0.0404908,0.16684,0.12335,0.110354,0.0884719,0.149525,1,0.119484,0.209634,0.217706,0.1885,0.268795,0.183705,0.114153,0.0843215,0.0540221,0.1565,0.100028,0.112208,0.113079,0.0897819,0.143198,0.107889,0.116187,0.108443,0.10267,0.0683916,1,1,0.0814897,0.114547,0.102235,0.0588919,0.158551,0.238264,0.101091,0.0230493,0.0862178,0.0507642,0.0952901,0.0989708,0.04578,0.141361,0.0945585,0.12574,0.0458543,0.035783,0.105483,0.0714162,0.113646,0.110354,0.0649499,0.105483,1,0.072694,0.149132,1,0.131967,1,0.100953,0.18393,0.116188,0.056562,0.176024,0.0574851,1,0.139373,0.0780879,0.095172,0.162531,0.106001,0.229566,0.0877367,0.0788096,1,0.106617,0.191294,0.110354,0.14082,0.127461
"V6",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"V7",0.269352,0.199377,0.246525,0.205921,0.230834,1,0.0842223,0.173775,0.275497,0.269382,0.131767,0.165976,0.246242,1,0.14871,0.215116,0.231855,0.232578,0.195745,0.108528,0.114891,0.292574,0.234449,0.269352,0.160458,0.20663,0.226943,0.178447,1,0.224564,1,1,1,0.181189,0.275497,0.290533,0.157177,0.252058,0.266816,0.222955,0.198231,0.160139,0.192306,0.163566,0.160494,0.213448,1,0.2554,0.185223,0.165247,0.262019,1,0.230126,0.216623,0.144342,0.156631,0.271085,0.245264,0.243396,0.172315,0.174698,0.275497,0.257349,0.275497,0.27226,0.25004,0.135276,0.193085,0.101116,0.195244,0.126465,0.213559,1,0.17299,0.213626,0.227282,0.133553,0.100448,0.136462,0.186455,0.222955,0.181859,1,0.160974,0.156801,0.259365,0.129512,0.168197,1,0.0810616,0.246143,0.165781,0.160164,0.149321,0.0810345,0.244113,0.172245,0.233508,0.178099,0.217821,0.142501,0.148451,0.209596,0.122924,0.198444,0.146537,1,0.231855,1,0.233442,0.16209,0.226132,0.237083,0.143413,1,0.249303,0.16143,0.2198,0.133854,0.21365,0.10408,0.230028,0.186286,0.178807,0.20069,0.21467,1,0.241448,0.213966,0.182391,0.183776,0.23633,0.193166,0.176966,0.250005,0.255937,0.105809,0.245264,0.133915,1,0.275497,0.179957,0.222834,0.207974,0.118021,0.192982,0.193059,0.170677,0.116269,0.186478,0.275497,0.224564,0.171095,0.173106,0.257349,0.221007,1,0.134978,0.1837,0.245111,0.246525,0.154733,0.275497,0.12886,0.186094,0.219983,0.22913,0.125795,1,0.175911,0.1667,0.29294,0.2554,0.246525,0.231954,0.0942673,1,0.234449,0.186915,0.227719,0.217002,0.217741,0.188035,0.244103,0.148828,0.143213,0.222732,0.22913,0.248036,0.155664,0.155237,0.283897,0.241448,0.235848,0.237658,0.146809,0.230834,1,1,0.178229,0.138473,0.202823,0.170813,0.162141,0.231716,0.169539,0.199222,0.215116,0.170025,0.130692,0.110953,0.19369,0.255937,0.128324,0.257349,0.176188,0.163396,0.235874,0.121947,0.246143,0.246525,0.174177,0.235874,1,0.163557,0.275497,1,0.20798,1,0.243347,0.149969,0.131982,0.200626,0.165198,0.201772,1,0.0794959,0.215397,0.173441,0.137037,0.117408,0.280617,0.160949,0.147037,1,0.231855,0.236928,0.246525,0.27113,0.13663
"V8",0.243565,0.179006,0.218005,0.188267,0.205803,1,0.140435,0.113219,0.249381,0.270805,0.105721,0.0781964,0.215234,1,0.154844,0.1742,0.181046,0.208961,0.120351,0.149213,0.115367,0.22606,0.161872,0.243565,0.11836,0.223064,0.210947,0.104747,1,0.163108,1,1,1,0.103739,0.249381,0.26407,0.160012,0.236308,0.24016,0.198387,0.170277,0.095206,0.171906,0.10085,0.10139,0.191924,1,0.228235,0.142511,0.120658,0.235902,1,0.204527,0.180502,0.134087,0.125224,0.246438,0.201048,0.214192,0.127357,0.112112,0.249381,0.230435,0.249381,0.247104,0.22067,0.0731927,0.231046,0.0856292,0.15281,0.078993,0.222741,1,0.130481,0.186205,0.199451,0.0711071,0.159903,0.190943,0.14551,0.198387,0.131186,1,0.157367,0.0642177,0.237934,0.157699,0.0889975,1,0.123997,0.217293,0.116166,0.106534,0.130877,0.112088,0.217699,0.151016,0.20444,0.12198,0.16848,0.150374,0.071168,0.187902,0.156965,0.201363,0.112925,1,0.181046,1,0.207924,0.118139,0.208074,0.160283,0.133217,1,0.226721,0.151018,0.158127,0.076205,0.210878,0.0364764,0.202552,0.162699,0.170832,0.140851,0.185102,1,0.211992,0.235048,0.159015,0.164575,0.173029,0.173964,0.217392,0.242539,0.209387,0.175941,0.201048,0.0939501,1,0.249381,0.161084,0.175121,0.183177,0.164515,0.171688,0.15833,0.127347,0.0568347,0.140764,0.249381,0.163108,0.142029,0.145738,0.230435,0.200336,1,0.0726966,0.137059,0.217694,0.218005,0.130714,0.249381,0.0743444,0.164846,0.209132,0.18322,0.0518982,1,0.130842,0.130574,0.242694,0.228235,0.218005,0.18939,0.0402289,1,0.161872,0.210256,0.211241,0.194197,0.219229,0.107879,0.219231,0.105962,0.123932,0.205354,0.18322,0.219712,0.123029,0.112804,0.247044,0.211992,0.171672,0.209994,0.127237,0.205803,1,1,0.207557,0.161285,0.225293,0.110061,0.0926583,0.24288,0.153647,0.177263,0.1742,0.125513,0.108169,0.0922147,0.156108,0.209387,0.0810996,0.230435,0.137507,0.148885,0.190446,0.107792,0.217293,0.218005,0.107731,0.190446,1,0.146176,0.249381,1,0.157637,1,0.219358,0.131621,0.0636369,0.175873,0.106061,0.176883,1,0.130816,0.189976,0.146641,0.14557,0.0661686,0.216244,0.196207,0.109978,1,0.181046,0.208007,0.218005,0.245193,0.0685881
"V9",0.0221138,0.0875132,0.0184166,0.100303,0.0600165,1,0.29728,0.147063,0.0337446,0.203097,0.18017,0.215007,0.320696,1,0.196661,0.104088,0.0719712,0.0356262,0.140623,0.172861,0.263206,0.168386,0.086119,0.0221138,0.151904,0.297609,0.223383,0.169128,1,0.0790175,1,1,1,0.221756,0.0337446,0.0631995,0.208606,0.331326,0.0185265,0.0492808,0.121275,0.179671,0.0863217,0.178019,0.228021,0.0558793,1,0.00266017,0.118948,0.15079,0.051806,1,0.114659,0.0992483,0.13487,0.13946,0.132214,0.0603365,0.0198633,0.15066,0.153341,0.0337446,0,0.0337446,0.117038,0.0335293,0.18255,0.0990491,0.169107,0.109989,0.175634,0.371827,1,0.159822,0.0644077,0.0517722,0.191079,0.180986,0.151018,0.118319,0.0492808,0.129537,1,0.162141,0.259994,0.120934,0.1932,0.196939,1,0.203567,0.0242161,0.174979,0.153632,0.188772,0.220556,0.056125,0.176999,0.224763,0.167515,0.257946,0.215633,0.258818,0.0576079,0.224162,0.112685,0.191396,1,0.0719712,1,0.0275925,0.144823,0.197188,0.256318,0.133994,1,0.160581,0.126841,0.0843289,0.221503,0.128134,0.232145,0.056125,0.101673,0.18328,0.1218,0.0636449,1,0.0225235,0.075467,0.103973,0.105119,0.0706969,0.114509,0.0941043,0.351132,0.126838,0.176379,0.0603365,0.190514,1,0.0337446,0.132778,0.0675834,0.0942494,0.172636,0.313567,0.128528,0.152299,0.233791,0.117378,0.0337446,0.0790175,0.133218,0.13445,0,0.050623,1,0.178386,0.138706,0.0357006,0.0184166,0.275823,0.0337446,0.180774,0.107558,0.218951,0.0607084,0.22623,1,0.129117,0.134929,0.146592,0.00266017,0.0184166,0.0580863,0.223466,1,0.086119,0.278829,0.294885,0.264938,0.335933,0.235917,0.0212744,0.171856,0.157423,0.120607,0.0607084,0.0168339,0.187249,0.155681,0.145079,0.0225235,0.100868,0.0259274,0.176977,0.0600165,1,1,0.114007,0.206754,0.0899273,0.148933,0.235471,0.309448,0.154465,0.107292,0.104088,0.154322,0.171931,0.176499,0.113359,0.126838,0.173541,0,0.148706,0.143801,0.0512027,0.157737,0.0242161,0.0184166,0.164829,0.0512027,1,0.120649,0.0337446,1,0.209287,1,0.0371579,0.242771,0.182297,0.0837012,0.206518,0.084382,1,0.229722,0.0545371,0.110998,0.232977,0.177393,0.295641,0.125088,0.158236,1,0.0719712,0.256665,0.0184166,0.0840728,0.200657
"V10",0.211041,0.22553,0.184057,0.112636,0.169513,1,0.290923,0.199223,0.217185,0.0130898,0.260508,0.25977,0.351212,1,0.164062,0.21167,0.138307,0.175896,0.189166,0.240608,0.257615,0.0852775,0.146394,0.211041,0.195317,0.269318,0.179812,0.214436,1,0.152895,1,1,1,0.267871,0.217185,0.156001,0.176942,0.256541,0.207094,0.163241,0.269702,0.223009,0.20997,0.218713,0.282405,0.156513,1,0.196199,0.184536,0.22225,0.222386,1,0.283194,0.225439,0.20476,0.207101,0.246435,0.168306,0.183561,0.19856,0.193363,0.217185,0.198147,0.217185,0.241979,0.185596,0.22131,0.130293,0.238167,0.192619,0.224139,0.245224,1,0.196311,0.203441,0.212254,0.235411,0.211699,0.16971,0.208818,0.163241,0.213305,1,0.163134,0.305629,0.103106,0.163064,0.228946,1,0.268239,0.186308,0.214153,0.188205,0.298338,0.224758,0.231831,0.269039,0.23733,0.219979,0.256554,0.195026,0.303302,0.155574,0.236784,0.0981789,0.257366,1,0.138307,1,0.180515,0.194053,0.200182,0.272796,0.203527,1,0.226803,0.209457,0.149896,0.26811,0.12579,0.281033,0.215,0.19765,0.171538,0.199906,0.204486,1,0.181613,0.21269,0.195036,0.191812,0.156066,0.201202,0.11698,0.339173,0.0957687,0.182776,0.168306,0.248829,1,0.217185,0.214646,0.141203,0.217738,0.249985,0.315965,0.219965,0.199546,0.277478,0.210255,0.217185,0.152895,0.21467,0.231662,0.198147,0.161292,1,0.231616,0.223281,0.190377,0.184057,0.266737,0.217185,0.270872,0.213038,0.224003,0.149153,0.266645,1,0.179768,0.209496,0.0765138,0.196199,0.184057,0.170264,0.271071,1,0.146394,0.169469,0.177676,0.231781,0.180965,0.288615,0.181635,0.218269,0.248936,0.120317,0.149153,0.185568,0.264878,0.204227,0.114808,0.181613,0.158226,0.177822,0.261823,0.169513,1,1,0.198367,0.176331,0.222052,0.196968,0.273656,0.126394,0.273203,0.208865,0.21167,0.204229,0.27865,0.272345,0.206189,0.0957687,0.22274,0.198147,0.199341,0.209722,0.158916,0.239433,0.186308,0.184057,0.209227,0.158916,1,0.207866,0.217185,1,0.208765,1,0.191114,0.251839,0.224348,0.209493,0.272815,0.210639,1,0.240009,0.158462,0.249058,0.218507,0.222903,0.273323,0.202624,0.255679,1,0.138307,0.248075,0.184057,0.131193,0.250727
