"","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12","h13","h14","h15","h16","h17","h18","h19","h20","h21","h22","h23","h24","h25","h26","h27","h28","h29","h30","h31","h32","h33","h34","h35","h36","h37","h38","h39","h40","h41","h42","h43","h44","h45","h46","h47","h48","h49","h50","h51","h52","h53","h54","h55","h56","h57","h58","h59","h60","h61","h62","h63","h64","h65","h66","h67","h68","h69","h70","h71","h72","h73","h74","h75","h76","h77","h78","h79","h80","h81","h82","h83","h84","h85","h86","h87","h88","h89","h90","h91","h92","h93","h94","h95","h96","h97","h98","h99","h100","h101","h102","h103","h104","h105","h106","h107","h108","h109","h110","h111","h112","h113","h114","h115","h116","h117","h118","h119","h120","h121","h122","h123","h124","h125","h126","h127","h128","h129","h130","h131","h132","h133","h134","h135","h136","h137","h138","h139","h140","h141","h142","h143","h144","h145","h146","h147","h148","h149","h150","h151","h152","h153","h154","h155","h156","h157","h158","h159","h160","h161","h162","h163","h164","h165","h166","h167","h168","h169","h170","h171","h172","h173","h174"
"g1",0.877959,1,1,1,0.516693,0.520447,0.52753,0.605665,1,1,0.53766,0.528731,0.853437,0.881036,1,0.865137,0.844558,0.513363,0.884534,0.596047,0.516693,0.516693,0.870147,0.576614,0.52753,1,1,0.524796,1,0.515834,0.516693,0.516693,1,1,1,1,1,1,1,1,1,1,0.63334,0.511053,1,0.581234,1,1,1,1,0.516693,1,1,1,0.481125,0.479479,1,0.865896,1,0.543519,1,1,0.52753,1,1,1,1,0.543519,1,0.877697,0.887836,0.483106,0.516693,0.840219,1,1,1,1,1,1,0.727158,0.879792,1,1,1,0.447808,0.513363,1,0.891803,0.607083,1,1,0.534184,1,1,0.619726,1,1,1,1,0.516693,0.611737,0.516693,0.548957,1,0.575211,0.516693,1,0.495713,0.513363,1,1,1,1,0.494498,0.578078,0.516693,0.516693,1,0.625156,0.623442,0.529834,0.513363,0.516693,0.516693,0.877276,0.511053,0.52753,0.529834,0.53372,0.453554,0.488539,1,0.596047,0.539636,0.525357,0.516693,0.483106,1,1,1,0.513363,0.841982,1,0.509374,0.446651,1,1,1,0.576901,1,0.529834,0.513363,1,0.516693,0.543752,0.580064,1,1,0.516693,0.516693,0.513363,1,1,1,1,1,1,0.513363,1,0.724304,1,0.520447,0.529834
"g2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"g3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"g4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"g5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"g6",0.92283,1,1,1,0.468917,0.489109,0.461991,0.668667,1,1,0.643166,0.635708,0.82873,0.915984,1,0.906108,0.888511,0.461938,0.931967,0.500781,0.468917,0.468917,0.910289,0.513203,0.461991,1,1,0.51671,1,0.52734,0.468917,0.468917,1,1,1,1,1,1,1,1,1,1,0.505819,0.46813,1,0.654988,1,1,1,1,0.468917,1,1,1,0.535502,0.523916,1,0.907088,1,0.541276,1,1,0.461991,1,1,1,1,0.541276,1,0.912473,0.922735,0.514562,0.468917,0.874304,1,1,1,1,1,1,0.795658,0.923736,1,1,1,0.588161,0.461938,1,0.937628,0.714611,1,1,0.516857,1,1,0.691001,1,1,1,1,0.468917,0.517144,0.468917,0.53023,1,0.533169,0.468917,1,0.525578,0.461938,1,1,1,1,0.490793,0.566616,0.468917,0.468917,1,0.467726,0.508122,0.457608,0.461938,0.468917,0.468917,0.910982,0.46813,0.461991,0.451167,0.534929,0.592032,0.503298,1,0.500781,0.521339,0.527897,0.468917,0.514562,1,1,1,0.461938,0.879543,1,0.471365,0.589533,1,1,1,0.646687,1,0.451167,0.461938,1,0.468917,0.446126,0.652565,1,1,0.468917,0.468917,0.461938,1,1,1,1,1,1,0.461938,1,0.806484,1,0.489109,0.457608
"g7",0.951633,1,1,1,0.4,0.45495,0.410837,0.680602,1,1,0.614339,0.607374,0.854607,0.951367,1,0.939661,0.918812,0.406978,0.959431,0.53878,0.4,0.4,0.944285,0.519994,0.410837,1,1,0.479851,1,0.50331,0.4,0.4,1,1,1,1,1,1,1,1,1,1,0.551048,0.41317,1,0.657893,1,1,1,1,0.4,1,1,1,0.477843,0.467509,1,0.9399,1,0.504078,1,1,0.410837,1,1,1,1,0.504078,1,0.936681,0.951608,0.457388,0.4,0.914645,1,1,1,1,1,1,0.80027,0.953664,1,1,1,0.529712,0.406978,1,0.965753,0.679131,1,1,0.530829,1,1,0.69309,1,1,1,1,0.4,0.538969,0.4,0.507267,1,0.523378,0.4,1,0.46758,0.406978,1,1,1,1,0.435833,0.577576,0.4,0.4,1,0.518771,0.531438,0.423449,0.406978,0.4,0.4,0.939194,0.41317,0.410837,0.423449,0.498071,0.533423,0.446891,1,0.53878,0.484141,0.491523,0.4,0.457388,1,1,1,0.406978,0.914549,1,0.414957,0.530792,1,1,1,0.653532,1,0.423449,0.406978,1,0.4,0.427059,0.65761,1,1,0.4,0.4,0.406978,1,1,1,1,1,1,0.406978,1,0.795175,1,0.45495,0.423449
"g8",0.926935,1,1,1,0.473952,0.488485,0.463115,0.637117,1,1,0.574991,0.567529,0.864672,0.919881,1,0.913867,0.889556,0.469188,0.934454,0.534991,0.473952,0.473952,0.915451,0.515761,0.463115,1,1,0.505566,1,0.452516,0.473952,0.473952,1,1,1,1,1,1,1,1,1,1,0.531918,0.462996,1,0.626632,1,1,1,1,0.473952,1,1,1,0.515611,0.485413,1,0.912663,1,0.520006,1,1,0.463115,1,1,1,1,0.520006,1,0.904078,0.917362,0.460987,0.473952,0.884783,1,1,1,1,1,1,0.769027,0.926105,1,1,1,0.539088,0.469188,1,0.939973,0.687417,1,1,0.527868,1,1,0.660679,1,1,1,1,0.473952,0.540156,0.473952,0.508125,1,0.481026,0.473952,1,0.484736,0.469188,1,1,1,1,0.474453,0.578526,0.473952,0.473952,1,0.550066,0.531071,0.477942,0.469188,0.473952,0.473952,0.907152,0.462996,0.463115,0.454506,0.526115,0.543201,0.471569,1,0.534991,0.518493,0.494346,0.473952,0.460987,1,1,1,0.469188,0.888566,1,0.462175,0.542282,1,1,1,0.622707,1,0.454506,0.469188,1,0.473952,0.48132,0.612459,1,1,0.473952,0.473952,0.469188,1,1,1,1,1,1,0.469188,1,0.758319,1,0.488485,0.477942
"g9",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"g10",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
