"","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12","h13","h14","h15","h16","h17","h18","h19","h20","h21","h22","h23","h24","h25","h26","h27","h28","h29","h30","h31","h32","h33","h34","h35","h36","h37","h38","h39","h40","h41","h42","h43","h44","h45","h46","h47","h48","h49","h50","h51","h52","h53","h54","h55","h56","h57","h58","h59","h60","h61","h62","h63","h64","h65","h66","h67","h68","h69","h70","h71","h72","h73","h74","h75","h76","h77","h78","h79","h80","h81","h82","h83","h84","h85","h86","h87","h88","h89","h90","h91","h92","h93","h94","h95","h96","h97","h98","h99","h100","h101","h102","h103","h104","h105","h106","h107","h108","h109","h110","h111","h112","h113","h114","h115","h116","h117","h118","h119","h120","h121","h122","h123","h124","h125","h126","h127","h128","h129","h130","h131","h132","h133","h134","h135","h136","h137","h138","h139","h140","h141","h142","h143","h144","h145","h146","h147","h148","h149","h150","h151","h152","h153","h154","h155","h156","h157","h158","h159","h160","h161","h162","h163","h164","h165","h166","h167","h168","h169","h170","h171","h172","h173","h174"
"g1",0.677108,0.88313,0.884034,0.884034,0.20679,0.212108,0.233963,0.344654,0.903296,0.903296,0.248315,0.235665,0.695665,0.734763,0.903296,0.71224,0.683086,0.213894,0.739718,0.331029,0.218611,0.218611,0.719337,0.303499,0.233963,0.903296,0.903296,0.230089,0.903296,0.220078,0.221295,0.221295,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.386545,0.213306,0.90598,0.312729,0.90598,0.90598,0.90598,0.90598,0.221295,0.90598,0.90598,0.90598,0.170908,0.168576,0.90598,0.716,0.90598,0.259299,0.90598,0.90598,0.236648,0.90598,0.90598,0.90598,0.90598,0.259299,0.90598,0.732717,0.747081,0.173714,0.221295,0.679624,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.519455,0.735685,0.90598,0.90598,0.90598,0.123708,0.216578,0.90598,0.752702,0.349348,0.90598,0.90598,0.246075,0.90598,0.90598,0.367259,0.90598,0.90598,0.90598,0.90598,0.221295,0.355942,0.221295,0.269173,0.908151,0.306366,0.223466,0.908151,0.193744,0.222864,0.912266,0.912266,0.912266,0.912266,0.196138,0.314543,0.227581,0.227581,0.913914,0.382885,0.380458,0.247846,0.224512,0.229229,0.229229,0.740055,0.221239,0.244581,0.247846,0.25335,0.139782,0.189344,0.913914,0.341647,0.261732,0.241503,0.229229,0.181648,0.913914,0.913914,0.913914,0.224512,0.690056,0.913914,0.218861,0.130003,0.913914,0.913914,0.913914,0.314523,0.913914,0.247846,0.224512,0.913914,0.229229,0.267563,0.319005,0.913914,0.913914,0.229229,0.229229,0.224512,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.233077,0.922479,0.542413,0.932982,0.253615,0.266914
"g2",0.88313,0.85,0.884034,0.884034,0.891475,0.891475,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.908151,0.908151,0.908151,0.908151,0.908151,0.908151,0.912266,0.912266,0.912266,0.912266,0.912266,0.912266,0.912266,0.912266,0.912266,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.922479,0.922479,0.932982,0.932982,0.932982,0.932982
"g3",0.884034,0.884034,0.85,0.864408,0.891475,0.891475,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.908151,0.908151,0.908151,0.908151,0.908151,0.908151,0.912266,0.912266,0.912266,0.912266,0.912266,0.912266,0.912266,0.912266,0.912266,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.922479,0.922479,0.932982,0.932982,0.932982,0.932982
"g4",0.884034,0.884034,0.864408,0.85,0.891475,0.891475,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.908151,0.908151,0.908151,0.908151,0.908151,0.908151,0.912266,0.912266,0.912266,0.912266,0.912266,0.912266,0.912266,0.912266,0.912266,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.922479,0.922479,0.932982,0.932982,0.932982,0.932982
"g5",0.891475,0.891475,0.891475,0.891475,0.85,0.878858,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.908151,0.908151,0.908151,0.908151,0.908151,0.908151,0.912266,0.912266,0.912266,0.912266,0.912266,0.912266,0.912266,0.912266,0.912266,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.922479,0.922479,0.932982,0.932982,0.932982,0.932982
"g6",0.782151,0.891475,0.891475,0.891475,0.12649,0.126237,0.141117,0.433908,0.903296,0.903296,0.397781,0.387215,0.660663,0.784273,0.903296,0.770282,0.745353,0.141041,0.806916,0.196068,0.150927,0.150927,0.776205,0.213666,0.141117,0.903296,0.903296,0.218635,0.903296,0.236378,0.153612,0.153612,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.20589,0.152498,0.90598,0.417214,0.90598,0.90598,0.90598,0.90598,0.153612,0.90598,0.90598,0.90598,0.247941,0.231529,0.90598,0.774355,0.90598,0.256121,0.90598,0.90598,0.143801,0.90598,0.90598,0.90598,0.90598,0.256121,0.90598,0.781983,0.796521,0.218277,0.153612,0.727911,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.616496,0.79794,0.90598,0.90598,0.90598,0.322542,0.143726,0.90598,0.81762,0.501679,0.90598,0.90598,0.221527,0.90598,0.90598,0.468232,0.90598,0.90598,0.90598,0.90598,0.153612,0.221934,0.153612,0.242644,0.908151,0.246807,0.155783,0.908151,0.236053,0.150012,0.912266,0.912266,0.912266,0.912266,0.190889,0.298305,0.159898,0.159898,0.913914,0.159859,0.217087,0.145526,0.15166,0.161546,0.161546,0.787805,0.160432,0.151735,0.136401,0.255064,0.335959,0.210253,0.913914,0.206687,0.235811,0.245101,0.161546,0.226211,0.913914,0.913914,0.913914,0.15166,0.743266,0.913914,0.165015,0.332419,0.913914,0.913914,0.913914,0.413387,0.913914,0.136401,0.15166,0.913914,0.161546,0.129259,0.421714,0.913914,0.913914,0.161546,0.161546,0.15166,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.160225,0.922479,0.658835,0.932982,0.20922,0.164594
"g7",0.834776,0.903296,0.903296,0.903296,0.0532956,0.131141,0.0153522,0.423013,0.875493,0.875493,0.333852,0.344881,0.695128,0.832204,0.901101,0.815621,0.786085,0.0609875,0.843628,0.247707,0.0511014,0.0511014,0.822172,0.221092,0.0664535,0.901101,0.901101,0.164224,0.901101,0.202336,0.0559802,0.0559802,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.269965,0.0746383,0.90598,0.421329,0.90598,0.90598,0.90598,0.90598,0.0559802,0.90598,0.90598,0.90598,0.166257,0.151618,0.90598,0.820839,0.90598,0.203424,0.90598,0.90598,0.0713324,0.90598,0.90598,0.90598,0.90598,0.203424,0.90598,0.816278,0.837425,0.13728,0.0559802,0.785061,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.623029,0.840337,0.90598,0.90598,0.90598,0.239739,0.0658664,0.90598,0.857463,0.451416,0.90598,0.90598,0.241322,0.90598,0.90598,0.471191,0.90598,0.90598,0.90598,0.90598,0.0559802,0.252853,0.0559802,0.210113,0.908151,0.232937,0.0581513,0.908151,0.153889,0.0721521,0.912266,0.912266,0.912266,0.912266,0.11303,0.313832,0.0622659,0.0622659,0.913914,0.232172,0.250118,0.0971338,0.0738003,0.0639142,0.0639142,0.827772,0.0825722,0.0792663,0.0971338,0.202848,0.25293,0.130342,0.913914,0.260519,0.183114,0.193571,0.0639142,0.145214,0.913914,0.913914,0.913914,0.0738003,0.792859,0.913914,0.0851036,0.249203,0.913914,0.913914,0.913914,0.423085,0.913914,0.0971338,0.0738003,0.913914,0.0639142,0.102248,0.428862,0.913914,0.913914,0.0639142,0.0639142,0.0738003,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.0823651,0.922479,0.642814,0.932982,0.160828,0.116202
"g8",0.799786,0.903296,0.903296,0.903296,0.158061,0.17865,0.114906,0.335915,0.871139,0.871139,0.27811,0.288434,0.709387,0.787599,0.901101,0.77908,0.744639,0.149118,0.808244,0.242339,0.155867,0.155867,0.781323,0.215096,0.140514,0.901101,0.901101,0.200653,0.901101,0.130378,0.160745,0.160745,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.242863,0.145225,0.90598,0.377042,0.90598,0.90598,0.90598,0.90598,0.160745,0.90598,0.90598,0.90598,0.219762,0.176982,0.90598,0.782253,0.90598,0.225988,0.90598,0.90598,0.145393,0.90598,0.90598,0.90598,0.90598,0.225988,0.90598,0.770091,0.78891,0.142379,0.160745,0.742756,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.578769,0.801296,0.90598,0.90598,0.90598,0.253021,0.153997,0.90598,0.820942,0.463154,0.90598,0.90598,0.237127,0.90598,0.90598,0.425276,0.90598,0.90598,0.90598,0.90598,0.160745,0.254534,0.160745,0.211329,0.908151,0.172938,0.162916,0.908151,0.178194,0.160283,0.912266,0.912266,0.912266,0.912266,0.167741,0.315177,0.167031,0.167031,0.913914,0.276508,0.249599,0.174332,0.161931,0.168679,0.168679,0.78238,0.153159,0.153327,0.141131,0.242577,0.266782,0.165303,0.913914,0.255151,0.231779,0.197571,0.168679,0.150313,0.913914,0.913914,0.913914,0.161931,0.75605,0.913914,0.151996,0.265481,0.913914,0.913914,0.913914,0.379415,0.913914,0.141131,0.161931,0.913914,0.168679,0.179118,0.364898,0.913914,0.913914,0.168679,0.168679,0.161931,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.170496,0.922479,0.590601,0.932982,0.208337,0.193401
"g9",0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.875493,0.871139,0.85,0.867193,0.880206,0.901101,0.901101,0.901101,0.901101,0.901101,0.901101,0.901101,0.901101,0.901101,0.901101,0.901101,0.901101,0.901101,0.901101,0.901101,0.901101,0.901101,0.901101,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.908151,0.908151,0.908151,0.908151,0.908151,0.908151,0.912266,0.912266,0.912266,0.912266,0.912266,0.912266,0.912266,0.912266,0.912266,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.922479,0.922479,0.932982,0.932982,0.932982,0.932982
"g10",0.903296,0.903296,0.903296,0.903296,0.903296,0.903296,0.875493,0.871139,0.867193,0.85,0.880206,0.901101,0.901101,0.901101,0.901101,0.901101,0.901101,0.901101,0.901101,0.901101,0.901101,0.901101,0.901101,0.901101,0.901101,0.901101,0.901101,0.901101,0.901101,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.90598,0.908151,0.908151,0.908151,0.908151,0.908151,0.908151,0.912266,0.912266,0.912266,0.912266,0.912266,0.912266,0.912266,0.912266,0.912266,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.913914,0.922479,0.922479,0.932982,0.932982,0.932982,0.932982
